status;replacement_uniqueName;replacement_sourceID;tag;uniqueName;sourceID
R;;;;reise_valutakalkulator;7910
R;;;;reise_debatt;8072
R;;;;reise_opphavsrett;9854
R;;;;reise_nyhetsbrevet;9914
R;;;;reise_drommekartet;9994
R;;;;reise_guider;6089
B;;;;viten;1299
D;;;;n24;4835
B;;;;meninger;38
R;;;;meninger_kommentarer;39
R;;;;meninger_grodum;40
R;;;;meninger_kronikker;120
R;;;;meninger_debatt;1599
R;;;;meninger_signert;2463
R;;;;meninger_leserforum;7915
R;;;;meninger_kommentatorer;7710
R;;;;meninger_kommentatorer_andenaes;7722
R;;;;meninger_kommentatorer_ask;8401
R;;;;meninger_kommentatorer_asker;7725
R;;;;meninger_kommentatorer_bakken;8399
R;;;;meninger_kommentatorer_bjorkeng;7728
R;;;;meninger_kommentatorer_brekke;10154
R;;;;meninger_kommentatorer_dragnes;7716
R;;;;meninger_kommentatorer_gjestad;9594
R;;;;meninger_kommentatorer_haddal;7723
R;;;;meninger_kommentatorer_hafstad;8532
R;;;;meninger_kommentatorer_hansen;7713
R;;;;meninger_kommentatorer_hanssen;7990
R;;;;meninger_kommentatorer_haugen;7724
R;;;;meninger_kommentatorer_haugsgjerd;9274
R;;;;meninger_kommentatorer_hollie;9595
R;;;;meninger_kommentatorer_hellberg;8093
R;;;;meninger_kommentatorer_hurum;8398
R;;;;meninger_kommentatorer_hvattum;8572
R;;;;meninger_kommentatorer_letvik;8395
R;;;;meninger_kommentatorer_lohne;8393
R;;;;meninger_kommentatorer_lund;7729
R;;;;meninger_kommentatorer_madsen;7714
R;;;;meninger_kommentatorer_mathismoen;9794
R;;;;meninger_kommentatorer_narum;7715
R;;;;meninger_kommentatorer_olsen;7970
R;;;;meninger_kommentatorer_petersson;8394
R;;;;meninger_kommentatorer_rachline;8400
R;;;;meninger_kommentatorer_ronneberg;7731
R;;;;meninger_kommentatorer_rehman;8010
R;;;;meninger_kommentatorer_sandberg;7719
R;;;;meninger_kommentatorer_skjevesland;8397
R;;;;meninger_kommentatorer_skotheim;7730
R;;;;meninger_kommentatorer_solberg;8926
R;;;;meninger_kommentatorer_stanghelle;7717
R;;;;meninger_kommentatorer_stavrum;8654
R;;;;meninger_kommentatorer_storeng;7721
R;;;;meninger_kommentatorer_tornes;8733
R;;;;meninger_kommentatorer_ullmann;8011
R;;;;meninger_kommentatorer_valderhaug;7711
R;;;;meninger_kommentatorer_okland;7712
R;;;;meninger_kommentatorer_wangnaveen;7726
R;;;;meninger_kommentatorer_aale;8396
R;;;;meninger_kommentatorer_aamaas;7720
R;;;;meninger_spaltister;7732
R;;;;meninger_spaltister_alnaes;7738
R;;;;meninger_spaltister_andersen;9133
R;;;;meninger_spaltister_aspaas;10274
R;;;;meninger_spaltister_bondevik;8653
R;;;;meninger_spaltister_clemet;7740
R;;;;meninger_spaltister_geelmuyden;9132
R;;;;meninger_spaltister_egeland;7745
R;;;;meninger_spaltister_farovik;7821
R;;;;meninger_spaltister_gjorv;7794
R;;;;meninger_spaltister_gulbrandsen;7912
R;;;;meninger_spaltister_holst;7823
R;;;;meninger_spaltister_ingulstad;7743
R;;;;meninger_spaltister_ishaq;9354
R;;;;meninger_spaltister_kolloen;7817
R;;;;meninger_spaltister_loe;10194
R;;;;meninger_spaltister_woon;7819
R;;;;meninger_spaltister_lundestad;7824
R;;;;meninger_spaltister_matlary;7734
R;;;;meninger_spaltister_ottosen;7991
R;;;;meninger_spaltister_raja;7737
R;;;;meninger_spaltister_rana;7739
R;;;;meninger_spaltister_srana;7790
R;;;;meninger_spaltister_rasmussen;7744
R;;;;meninger_spaltister_rege;7791
R;;;;meninger_spaltister_riley;7741
R;;;;meninger_spaltister_ringen;7815
R;;;;meninger_spaltister_skouen;7911
R;;;;meninger_spaltister_ronning;8092
R;;;;meninger_spaltister_rodrik;7796
R;;;;meninger_spaltister_storesletten;7795
R;;;;meninger_spaltister_svendsen;7822
R;;;;meninger_spaltister_thune;8403
R;;;;meninger_spaltister_syse;7742
R;;;;meninger_spaltister_ulltveitmoe;7792
R;;;;meninger_spaltister_udgaard;10195
R;;;;meninger_spaltister_utgaard;7793
R;;;;meninger_spaltister_valebrokk;7971
R;;;;meninger_spaltister_vardoen;7733
R;;;;meninger_spaltister_waage;7816
 R;;;;meninger_metainfo;7770
B;;;;meninger_sid;7913
R;;;;meninger_leder;7914
R;;;;meninger_siste100;5175
R;;;;artikkelspalten;4955
B;;;;fakta;986
R;fakta;986;;fakta_afghanistan;987
R;fakta;986;;fakta_berlinmuren;1059
R;fakta;986;;fakta_midtosten;1063
R;fakta;986;;fakta_midtosten_israelogpalestinerne;1859
B;;;;fakta_innsikt;2669
R;fakta;986;;fakta_olav;1284
R;fakta;986;;fakta_verdenskrig;1319
R;fakta;986;;fakta_nobel;1959
R;fakta;986;;fakta_nordirland;1079
D;;;;famlab;3753
B;;;;amagasinet;3733
S;amagasinet;3733;;amagasinet_juul;7550
S;amagasinet;3733;;amagasinet_morch;8672
B;;;;amagasinet_thuen;7551
B;;;;helse;2858
R;;;;dating;6990
R;;;;ekspertene;2139
B;;;;ekspertene_spraak;2245
B;;;;informasjon;216
B;;;;informasjon_multimedia;5456
B;;;;informasjon_ansatte;1639
R;;;;ntb;59
R;;;;ntb_innenriks;60
R;;;;ntb_sport;100
R;;;;ntb_utenriks;99
R;;;;mobil;48
B;;;;vaer;34
B;;;;vaer_bad;2136
B;;;;vaer_ski;2969
B;;;;vaer_radar;3069
B;;;;vaer_histvaer;3089
B;;;;vaer_norge;3109
B;;;;vaer_verden;3110
B;;;;vaer_spesial_fot;7131
B;;;;vaer_tidevann;3112
B;;;;vaer_fakta;3113
B;;;;vaer_kart;3190
B;;;;vaer_pollen;5075
B;;;;vaer_spesial_hode;7130
B;;;;vaer_solmane;3111
R;;;;webcam;1018
B;;;;mobildesking;8752
B;;;;poll;4935
B;;;;ver6;6850
B;;;;eksport;151
R;;;;eksport_rss-1.0;2119
R;;;;eksport_rss-2.0;9755
R;;;;eksport_msn;2124
R;;;;eksport_intrahouse;2128
R;;;;eksport_intrahouse_dato;2247
R;;;;eksport_element;2129
R;;;;eksport_golf;2283
